date,dummy,dummy,dummy,dummy,price
06/09/2013,0,0,0,0,1387
13/09/2013,0,0,0,0,1318.5
20/09/2013,0,0,0,0,1349.25
27/09/2013,0,0,0,0,1341
04/10/2013,0,0,0,0,1309.75
11/10/2013,0,0,0,0,1265.5
18/10/2013,0,0,0,0,1316.5
25/10/2013,0,0,0,0,1347.75
01/11/2013,0,0,0,0,1306.75
08/11/2013,0,0,0,0,1285.5
15/11/2013,0,0,0,0,1287.25
22/11/2013,0,0,0,0,1246.25
29/11/2013,0,0,0,0,1253
06/12/2013,0,0,0,0,1233
13/12/2013,0,0,0,0,1232
20/12/2013,0,0,0,0,1195.25
27/12/2013,0,0,0,0,1214.5
03/01/2014,0,0,0,0,1234.5
10/01/2014,0,0,0,0,1244.25
17/01/2014,0,0,0,0,1250
24/01/2014,0,0,0,0,1267
31/01/2014,0,0,0,0,1251
07/02/2014,0,0,0,0,1259.25
14/02/2014,0,0,0,0,1320
21/02/2014,0,0,0,0,1323.25
28/02/2014,0,0,0,0,1326.5
07/03/2014,0,0,0,0,1335.25
14/03/2014,0,0,0,0,1385
21/03/2014,0,0,0,0,1336
28/03/2014,0,0,0,0,1294.75
04/04/2014,0,0,0,0,1297.25
11/04/2014,0,0,0,0,1318
18/04/2014,0,0,0,0,1299
25/04/2014,0,0,0,0,1301.25
02/05/2014,0,0,0,0,1281.25
09/05/2014,0,0,0,0,1291.25
16/05/2014,0,0,0,0,1291.5
23/05/2014,0,0,0,0,1291.5
30/05/2014,0,0,0,0,1250.5
06/06/2014,0,0,0,0,1247.5
13/06/2014,0,0,0,0,1273
20/06/2014,0,0,0,0,1312.5
27/06/2014,0,0,0,0,1317.5
04/07/2014,0,0,0,0,1319.25
11/07/2014,0,0,0,0,1335
18/07/2014,0,0,0,0,1307.25
25/07/2014,0,0,0,0,1294.75
01/08/2014,0,0,0,0,1291.25
08/08/2014,0,0,0,0,1309.75
15/08/2014,0,0,0,0,1296
22/08/2014,0,0,0,0,1277.25
29/08/2014,0,0,0,0,1285.75
05/09/2014,0,0,0,0,1266
12/09/2014,0,0,0,0,1231.5
19/09/2014,0,0,0,0,1219.75
26/09/2014,0,0,0,0,1213.75
03/10/2014,0,0,0,0,1195
10/10/2014,0,0,0,0,1219
17/10/2014,0,0,0,0,1234.25
24/10/2014,0,0,0,0,1232.75
31/10/2014,0,0,0,0,1164.25
07/11/2014,0,0,0,0,1154.5
14/11/2014,0,0,0,0,1169
21/11/2014,0,0,0,0,1203.75
28/11/2014,0,0,0,0,1182.75
05/12/2014,0,0,0,0,1194
12/12/2014,0,0,0,0,1217
19/12/2014,0,0,0,0,1195.5
26/12/2014,0,0,0,0,1175.75
02/01/2015,0,0,0,0,1172
09/01/2015,0,0,0,0,1217.75
16/01/2015,0,0,0,0,1277.5
23/01/2015,0,0,0,0,1294.75
30/01/2015,0,0,0,0,1260.25
06/02/2015,0,0,0,0,1241
13/02/2015,0,0,0,0,1232.5
20/02/2015,0,0,0,0,1208.25
27/02/2015,0,0,0,0,1214
06/03/2015,0,0,0,0,1175.75
13/03/2015,0,0,0,0,1152
20/03/2015,0,0,0,0,1183.1
27/03/2015,0,0,0,0,1195.75
03/04/2015,0,0,0,0,1198.5
10/04/2015,0,0,0,0,1207.35
17/04/2015,0,0,0,0,1203.35
24/04/2015,0,0,0,0,1183
01/05/2015,0,0,0,0,1175.95
08/05/2015,0,0,0,0,1186
15/05/2015,0,0,0,0,1220.5
22/05/2015,0,0,0,0,1204.1
29/05/2015,0,0,0,0,1191.4
05/06/2015,0,0,0,0,1164.6
12/06/2015,0,0,0,0,1182.8
19/06/2015,0,0,0,0,1203.4
26/06/2015,0,0,0,0,1170.5
03/07/2015,0,0,0,0,1167.95
10/07/2015,0,0,0,0,1159.3
17/07/2015,0,0,0,0,1132.8
24/07/2015,0,0,0,0,1080.8
31/07/2015,0,0,0,0,1098.4
07/08/2015,0,0,0,0,1093.5
14/08/2015,0,0,0,0,1118.25
21/08/2015,0,0,0,0,1156.5
28/08/2015,0,0,0,0,1135
04/09/2015,0,0,0,0,1118.25
11/09/2015,0,0,0,0,1100.25
18/09/2015,0,0,0,0,1141.5
25/09/2015,0,0,0,0,1146.65
02/10/2015,0,0,0,0,1140.75
09/10/2015,0,0,0,0,1151.55
16/10/2015,0,0,0,0,1180.85
23/10/2015,0,0,0,0,1161.25
30/10/2015,0,0,0,0,1142.35
06/11/2015,0,0,0,0,1088.9
13/11/2015,0,0,0,0,1081.5
20/11/2015,0,0,0,0,1081.75
27/11/2015,0,0,0,0,1057.4
04/12/2015,0,0,0,0,1079.25
